"Year","flannel","jean","moleskin","velour","twill","gingham","leather","rayon","satin"," cotton","eyelet"," cotton.1","jacquard","angora","flax","nylon","canvas"," lace","velvet","cotton ","chino","cotton","mesh","silk ","silk","taffeta","chiffon","damask","cotton .1","mohair","lace","tweed"
1810,"5.377359044334108E-6","8.00446575301642E-6","4.1048542323161134E-8","1.231456269694834E-7","6.978252194937393E-6","1.3956504389874787E-6","3.476811534771748E-5","8.209708464632227E-8","2.532695061339042E-5","1.6419416929264454E-7","0.0","1.1493591850485117E-6","0.0","0.0","1.6706756725526583E-5","4.1048542323161134E-8","0.0","4.1048542323161135E-7","1.916966926491625E-5","0.0","8.209708464632227E-8","9.999424909922053E-5","6.567766771705781E-7","1.231456269694834E-7","5.767320196404139E-5","0.0","1.6419416929264454E-7","2.2166212854507013E-6","1.231456269694834E-7","3.694368809084502E-7","7.002881320331289E-5","5.623650298273076E-6"
1811,"7.353033289632713E-6","1.0309808580701952E-5","3.890493804038473E-8","1.556197521615389E-7","6.963983909228866E-6","1.9452469020192362E-6","2.7194551690228922E-5","7.780987608076946E-8","2.412106158503853E-5","3.5014444236346253E-7","0.0","8.170036988480793E-7","0.0","3.890493804038473E-8","2.0814141851605827E-5","0.0","0.0","4.27954318444232E-7","1.8246415940940437E-5","1.9452469020192362E-7","7.780987608076946E-8","1.2519609061395804E-4","4.668592564846167E-7","1.556197521615389E-7","6.742225762398672E-5","3.890493804038473E-8","7.780987608076946E-8","4.629687626805782E-6","2.3342962824230835E-7","2.3342962824230835E-7","6.170323173205018E-5","5.757930829976939E-6"
1812,"7.130994302045969E-6","1.0895580126476329E-5","1.4479176247809075E-7","3.619794061952269E-8","7.782557233197377E-6","1.375521743541862E-6","3.710288913501075E-5","2.895835249561815E-7","2.2008347896669792E-5","1.8098970309761344E-7","3.619794061952269E-8","3.9817734681474955E-7","0.0","0.0","1.3429435969842917E-5","3.619794061952269E-8","7.239588123904538E-8","6.515629311514083E-7","1.3501831851081961E-5","7.239588123904538E-8","7.239588123904538E-8","1.0359850605307392E-4","6.87760871770931E-7","2.171876437171361E-7","7.775317645073473E-5","0.0","0.0","5.357295211689358E-6","2.895835249561815E-7","1.0859382185856805E-7","6.236905168743759E-5","4.778128161776994E-6"
1813,"4.949765224445146E-6","1.8944425175574225E-5","7.121964351719633E-8","1.4243928703439267E-7","7.656111678098607E-6","7.121964351719634E-7","3.155030207811798E-5","7.121964351719633E-8","2.2220528777365258E-5","7.121964351719633E-8","3.5609821758598166E-8","6.765866134133653E-7","0.0","0.0","1.2961975120129733E-5","3.5609821758598166E-8","0.0","3.204883958273835E-7","1.4742466208059642E-5","2.492687523101872E-7","7.121964351719633E-8","9.105431423673552E-5","4.985375046203744E-7","1.0682946527579451E-7","4.9853750462037435E-5","7.121964351719633E-8","0.0","3.098054492998041E-6","2.492687523101872E-7","7.121964351719633E-8","5.9468402336858945E-5","3.3829330670668263E-6"
1814,"3.8421845478082E-6","2.3699138317011644E-5","0.0","6.80032663328885E-8","8.534409924777508E-6","1.1560555276591045E-6","2.4617182412505638E-5","6.80032663328885E-8","2.51272069100023E-5","2.72013065331554E-7","3.400163316644425E-8","5.100244974966637E-7","0.0","1.0200489949933275E-7","2.342712525168009E-5","1.36006532665777E-7","0.0","7.480359296617735E-7","1.6830808417389905E-5","1.36006532665777E-7","2.3801143216510976E-7","1.1009728819294649E-4","3.7401796483088674E-7","1.36006532665777E-7","4.770429133252128E-5","6.80032663328885E-8","3.400163316644425E-8","3.230155150812204E-6","2.72013065331554E-7","2.3801143216510976E-7","6.756124510172472E-5","2.550122487483319E-6"
1815,"7.3103737895450505E-6","1.6900715642166035E-5","3.618996925517352E-8","7.237993851034704E-8","8.975112375283032E-6","1.6285486164828083E-6","2.594820795595941E-5","1.0495091084000321E-6","2.631010764851115E-5","2.171398155310411E-7","7.237993851034704E-8","4.342796310620822E-7","0.0","0.0","2.3523480015862787E-5","0.0","3.618996925517352E-8","5.428495388276028E-7","1.3209338778138335E-5","2.8951975404138817E-7","1.0856990776552055E-7","9.966717532874788E-5","3.980896618069087E-7","0.0","6.181246748783638E-5","3.618996925517352E-8","0.0","3.6551868947725252E-6","3.2570972329656166E-7","0.0","5.812109062380867E-5","2.786627632648361E-6"
1816,"8.204956475139572E-6","1.1820700006557013E-5","0.0","1.3906705890067074E-7","1.0742930300076814E-5","1.2863702948312041E-6","4.585736267249617E-5","2.086005883510061E-7","4.2693587082505913E-5","2.086005883510061E-7","0.0","5.562682356026829E-7","0.0","3.4766764725167684E-8","2.0651458246749604E-5","3.4766764725167684E-8","0.0","4.867347061523475E-7","1.5679810891050623E-5","2.086005883510061E-7","2.4336735307617375E-7","8.872478357862793E-5","2.4336735307617375E-7","3.476676472516768E-7","7.32535732759283E-5","3.4766764725167684E-8","0.0","6.15371735635468E-6","1.738338236258384E-7","3.1290088252650914E-7","8.68126115187437E-5","2.2250729424107318E-6"
1817,"7.396787165148706E-6","1.539876600744594E-5","0.0","0.0","1.0153771472158679E-5","1.143139834613891E-6","3.284845936522857E-5","2.353523188910952E-7","4.427985771136748E-5","1.0086527952475509E-7","3.3621759841585024E-8","3.025958385742652E-7","0.0","0.0","2.669567731421851E-5","3.3621759841585024E-8","6.724351968317005E-8","5.043263976237754E-7","1.4558222011406316E-5","4.0346111809902034E-7","2.0173055904951017E-7","1.1179235147327021E-4","6.724351968317005E-7","1.0086527952475509E-7","8.015427546233871E-5","6.724351968317005E-8","3.3621759841585024E-8","8.102844121821991E-6","3.025958385742652E-7","1.0086527952475509E-7","6.401583073837789E-5","6.08553853132689E-6"
1818,"7.504596071370289E-6","9.841553619911036E-6","6.582979009973937E-8","3.2914895049869684E-8","8.689532293165597E-6","1.8432341227927024E-6","4.3645150836127205E-5","6.582979009973937E-8","5.391459809168655E-5","2.304042653490878E-7","3.2914895049869684E-8","3.6206384554856657E-7","0.0","6.582979009973937E-8","2.3665809540856305E-5","6.582979009973937E-8","2.304042653490878E-7","4.2789363564830595E-7","1.99793412952709E-5","2.6331916039895747E-7","3.6206384554856657E-7","1.115156644289585E-4","7.241276910971331E-7","1.6457447524934843E-7","8.106938650782904E-5","6.582979009973937E-7","0.0","9.545319564462209E-6","3.6206384554856657E-7","2.962340554488272E-7","8.044400350188151E-5","4.311851251532929E-6"
1819,"9.163027706804626E-6","1.4626696401545273E-5","1.1382643114043014E-7","2.5610947006596784E-7","8.223959649896079E-6","2.6749211318001083E-6","3.372108022535243E-5","8.53698233553226E-8","5.577495125881077E-5","1.9919625449575274E-7","0.0","8.53698233553226E-8","0.0","2.8456607785107535E-8","2.006190848850081E-5","0.0","5.691321557021507E-8","4.5530572456172056E-7","1.3573801913496295E-5","1.1382643114043014E-7","8.53698233553226E-8","1.1869251107168353E-4","4.26849116776613E-7","1.1382643114043014E-7","9.046355614885686E-5","2.07733236831285E-6","0.0","1.3146952796719681E-5","3.130226856361829E-7","8.821548413383336E-7","8.013380752286283E-5","5.0368195779640336E-6"
1820,"8.959506762561043E-6","1.3964663318189278E-5","2.2122238919903808E-7","6.083615702973547E-7","8.931853963911163E-6","1.8803903081918236E-6","2.5551185952488897E-5","1.1061119459951904E-7","4.526763138985317E-5","1.1061119459951904E-7","5.530559729975952E-8","5.530559729975952E-8","0.0","0.0","1.8527375095419437E-5","8.295839594963927E-8","2.765279864987976E-8","3.594863824484369E-7","2.0269501410361865E-5","1.382639932493988E-7","1.382639932493988E-7","9.664653128132976E-5","3.594863824484369E-7","1.382639932493988E-7","8.105035284279757E-5","3.594863824484369E-7","2.765279864987976E-8","1.153121703699986E-5","8.295839594963927E-8","6.636671675971142E-7","6.802588467870421E-5","6.415449286772104E-6"
1821,"9.507594095708007E-6","1.1436277469408773E-5","4.346328729466517E-7","3.259746547099888E-7","8.176530922308885E-6","9.779239641299663E-7","2.423078266677583E-5","0.0","4.7293489487507536E-5","5.4329109118331464E-8","2.7164554559165732E-8","1.3582277279582865E-7","0.0","2.7164554559165732E-8","1.773845412713522E-5","2.7164554559165732E-8","5.4329109118331464E-8","4.0746831838748594E-7","2.3008377711613374E-5","1.0865821823666293E-7","2.9881010015082306E-7","8.831196687184779E-5","5.432910911833146E-7","2.9881010015082306E-7","9.173470074630267E-5","7.06278418538309E-7","0.0","1.0404024396160475E-5","3.531392092691545E-7","6.247847548608118E-7","7.437655038299576E-5","3.4227338744548822E-6"
