"Year"," hose","gown","suit ","sweater","suit ","suit ","tie s"," tee","cardigan"," suit","tee ","top"," tie","dress"," coat","dress ","jacket","tie "," tie","tie "," tie","blazer","tie "," tie"," coat","tie "," tie","polo","tank","scarf"," top"," coat","corset","top ","an tie","tunic","underwear"," dress","coat "," coat","coat ","suit ","tie","suit","coat ","hose","skirt"," dress","bra","coat ","coat","n tie","shirt","tee"
1810,"4.1048542323161135E-7","7.63502887210797E-6","8.209708464632227E-8","8.209708464632227E-8","4.1048542323161134E-8","0.0","4.269048401608758E-6","2.0524271161580568E-7","2.5860581663591515E-6","4.1048542323161134E-8","3.2838833858528907E-7","6.990566757634341E-5","4.925825078779336E-7","1.4621490775509996E-4","0.0","3.2838833858528907E-7","4.145902774639275E-6","3.694368809084502E-7","2.6681552510054736E-6","2.421863997066507E-6","1.6419416929264454E-7","1.231456269694834E-6","5.746795925242559E-7","3.694368809084502E-7","0.0","3.694368809084502E-7","7.799223041400616E-7","3.694368809084502E-7","4.3921940285782414E-6","3.694368809084502E-6","1.231456269694834E-7","0.0","1.3546018966643174E-6","1.6419416929264454E-7","1.190407727371673E-6","2.2166212854507013E-6","0.0","4.1048542323161135E-7","2.0524271161580568E-7","8.209708464632227E-8","4.1048542323161134E-8","3.2838833858528907E-7","8.509362823591304E-4","9.671036571336763E-5","4.1048542323161134E-8","3.616376578670496E-5","3.078640674237085E-6","1.6419416929264454E-7","1.6870950894819227E-5","0.0","4.5645979063355183E-5","2.7502523356517962E-6","1.2355611239271501E-5","6.50619395822104E-5"
1811,"3.5014444236346253E-7","8.481276492803871E-6","0.0","3.890493804038473E-8","0.0","0.0","4.007208618159627E-6","4.27954318444232E-7","6.652744404905788E-6","2.7233456628269306E-7","1.1671481412115418E-7","7.244099463119637E-5","9.726234510096181E-7","1.5402464970188314E-4","3.890493804038473E-8","2.3342962824230835E-7","6.224790086461556E-6","3.8904938040384724E-7","2.567725910665392E-6","2.412106158503853E-6","1.9452469020192362E-7","8.55908636888464E-7","5.835740706057709E-7","3.8904938040384724E-7","0.0","4.27954318444232E-7","5.057641945250014E-7","5.057641945250014E-7","6.3804098386230955E-6","4.396257998563474E-6","1.1671481412115418E-7","0.0","1.6340073976961586E-6","2.3342962824230835E-7","7.780987608076945E-7","1.9452469020192362E-6","0.0","4.27954318444232E-7","7.780987608076946E-8","1.556197521615389E-7","0.0","3.112395043230778E-7","7.750641756405445E-4","1.0780558330990608E-4","3.890493804038473E-8","3.54034936167501E-5","6.34150490058271E-6","1.556197521615389E-7","1.770174680837505E-5","1.9452469020192362E-7","5.1821377469792454E-5","3.112395043230778E-6","1.5367450525951967E-5","7.05735576052579E-5"
1812,"5.429691092928402E-7","7.710161351958332E-6","3.619794061952269E-8","7.239588123904538E-8","0.0","7.239588123904538E-8","3.692189943191314E-6","2.895835249561815E-7","4.597138458679381E-6","3.619794061952269E-7","2.171876437171361E-7","6.667660662116078E-5","7.963546936294991E-7","1.6292693072847162E-4","3.619794061952269E-8","4.705732280537949E-7","8.75990162992449E-6","6.87760871770931E-7","2.2080743777908838E-6","3.0768249526594285E-6","2.533855843366588E-7","6.515629311514083E-7","5.429691092928402E-7","3.9817734681474955E-7","0.0","3.619794061952269E-7","8.325526342490218E-7","7.601567530099764E-7","5.284899330450312E-6","4.814326102396517E-6","1.4479176247809075E-7","0.0","1.4479176247809075E-6","1.4479176247809075E-7","6.87760871770931E-7","1.375521743541862E-6","0.0","1.8098970309761344E-7","7.239588123904538E-8","3.619794061952269E-8","0.0","1.0859382185856805E-7","8.327698218927389E-4","1.1340814796096458E-4","0.0","3.5510179747751755E-5","5.176305508591744E-6","1.0859382185856805E-7","1.6904438269317095E-5","7.239588123904538E-8","4.9265397183170376E-5","2.099480555932316E-6","1.9184908528347025E-5","7.188911007037205E-5"
1813,"4.985375046203744E-7","4.807325937410753E-6","0.0","7.121964351719633E-8","7.121964351719633E-8","0.0","4.380008076307575E-6","2.1365893055158903E-7","3.560982175859817E-6","2.492687523101872E-7","2.8487857406878533E-7","6.495231488768306E-5","1.1039044745165432E-6","1.1893680467371789E-4","0.0","3.204883958273835E-7","4.593667006859164E-6","6.765866134133653E-7","3.739031284652808E-6","4.949765224445146E-6","1.4243928703439267E-7","2.2078089490330864E-6","6.40976791654767E-7","4.6292768286177623E-7","0.0","4.2731786110317805E-7","6.40976791654767E-7","4.985375046203744E-7","6.124889342478885E-6","2.741956275412059E-6","2.492687523101872E-7","0.0","6.765866134133653E-7","1.7804910879299085E-7","8.902455439649542E-7","1.1751241180337397E-6","0.0","2.1365893055158903E-7","1.0682946527579451E-7","7.121964351719633E-8","7.121964351719633E-8","1.0682946527579451E-7","9.462597935912292E-4","9.967189110231627E-5","0.0","3.11229842170148E-5","2.8131759189292554E-6","2.492687523101872E-7","1.769808141402329E-5","1.4243928703439267E-7","4.063080662656051E-5","2.706346453653461E-6","1.5988809969610578E-5","6.940354260750783E-5"
1814,"3.0601469849799827E-7","6.596316834290185E-6","0.0","0.0","6.80032663328885E-8","3.400163316644425E-8","4.1822008794726426E-6","4.08019597997331E-7","3.162151884479315E-6","3.0601469849799827E-7","4.08019597997331E-7","6.790126143338916E-5","1.1900571608255487E-6","1.4811111407303116E-4","0.0","2.72013065331554E-7","5.984287437294188E-6","4.4202123116377525E-7","3.5701714824766464E-6","4.760228643302195E-6","1.0200489949933275E-7","3.4001633166444253E-7","7.140342964953293E-7","2.72013065331554E-7","0.0","5.100244974966637E-7","4.08019597997331E-7","8.840424623275505E-7","4.8282319096350835E-6","4.420212311637752E-6","2.040097989986655E-7","0.0","2.040097989986655E-6","3.400163316644425E-8","5.780277638295522E-7","1.224058793991993E-6","0.0","2.72013065331554E-7","2.040097989986655E-7","3.400163316644425E-8","3.400163316644425E-8","1.36006532665777E-7","9.741467902186278E-4","1.3022625502748147E-4","0.0","2.7235308166321846E-5","2.7881339196484287E-6","3.7401796483088674E-7","1.5572747990231466E-5","3.400163316644425E-8","5.372258040298191E-5","3.0601469849799827E-6","1.2308591206252819E-5","7.262748844352492E-5"
1815,"5.790395080827763E-7","7.201803881779531E-6","0.0","0.0","1.0856990776552055E-7","1.0856990776552055E-7","4.161846464344955E-6","2.171398155310411E-7","3.329477171475964E-6","3.2570972329656166E-7","2.8951975404138817E-7","6.716858293760206E-5","6.152294773379498E-7","1.492112432390804E-4","0.0","3.618996925517352E-7","6.2246747118898455E-6","4.7046960031725575E-7","3.90851667955874E-6","3.691376864027699E-6","4.342796310620822E-7","0.0","5.428495388276028E-7","1.809498462758676E-7","0.0","5.066595695724292E-7","7.599893543586439E-7","7.961793236138174E-7","3.980896618069087E-6","7.780843389862307E-6","1.0856990776552055E-7","0.0","2.1352081860552377E-6","1.0856990776552055E-7","8.32369292868991E-7","1.2666489239310732E-6","0.0","3.980896618069087E-7","3.618996925517352E-8","1.0856990776552055E-7","0.0","2.171398155310411E-7","0.001003222137722665","1.3781140292370075E-4","3.618996925517352E-8","2.9422445004456072E-5","2.8951975404138817E-6","7.237993851034704E-8","1.9868293121090263E-5","7.237993851034704E-8","4.483937190715999E-5","2.497107878606973E-6","1.3426478593669376E-5","7.31037378954505E-5"
1816,"3.824344119768445E-7","8.239723239864741E-6","1.0430029417550305E-7","6.953352945033537E-8","0.0","6.953352945033537E-8","4.067711472844619E-6","7.64868823953689E-7","4.032944708119451E-6","2.086005883510061E-7","2.4336735307617375E-7","6.727368974319946E-5","1.0777697064801981E-6","1.960150195204954E-4","3.4766764725167684E-8","4.519679414271799E-7","5.319315002950656E-6","6.258017650530183E-7","3.998177943394283E-6","5.388848532400991E-6","3.1290088252650914E-7","0.0","6.258017650530183E-7","3.476676472516768E-7","0.0","3.824344119768445E-7","5.562682356026829E-7","4.519679414271799E-7","3.963411178669116E-6","6.918586180308369E-6","1.738338236258384E-7","0.0","2.816107942738582E-6","6.953352945033537E-8","8.344023534040244E-7","1.7035714715332164E-6","0.0","3.824344119768445E-7","1.3906705890067074E-7","0.0","6.953352945033537E-8","3.1290088252650914E-7","0.0011514404809328284","1.5453826920337033E-4","6.953352945033537E-8","2.823061295683616E-5","6.258017650530183E-6","2.4336735307617375E-7","1.7800583539285854E-5","3.4766764725167684E-8","5.614832503114581E-5","3.094242060539924E-6","1.411530647841808E-5","7.582631386559072E-5"
1817,"5.379481574653604E-7","1.0052906192633923E-5","0.0","0.0","0.0","2.0173055904951017E-7","4.471694058930809E-6","3.3621759841585024E-7","3.4294195038416728E-6","2.689740787326802E-7","3.025958385742652E-7","6.774784608079383E-5","7.396787165148706E-7","1.9120694821909404E-4","0.0","3.025958385742652E-7","7.968357082455651E-6","7.733004763564556E-7","3.4294195038416728E-6","3.463041263683258E-6","3.025958385742652E-7","0.0","6.388134369901155E-7","2.689740787326802E-7","0.0","4.0346111809902034E-7","5.043263976237754E-7","9.750310354059658E-7","3.866502381782278E-6","6.791595488000175E-6","1.0086527952475509E-7","6.724351968317005E-8","2.8242278266931422E-6","1.0086527952475509E-7","6.388134369901155E-7","1.311248633821816E-6","0.0","2.689740787326802E-7","1.6810879920792512E-7","3.3621759841585024E-8","6.724351968317005E-8","4.0346111809902034E-7","9.540846790246583E-4","1.614516907592913E-4","0.0","3.204153712903053E-5","6.993326047049686E-6","2.0173055904951017E-7","1.6575527601901417E-5","3.3621759841585024E-8","6.620124512808092E-5","2.488010228277292E-6","2.114808694035698E-5","6.875649887604138E-5"
1818,"1.6457447524934843E-7","7.833745021868985E-6","3.2914895049869684E-8","0.0","6.582979009973937E-8","2.304042653490878E-7","3.15982992478749E-6","3.2914895049869685E-7","3.686468245585405E-6","3.6206384554856657E-7","4.608085306981756E-7","7.735000336719377E-5","8.228723762467421E-7","2.1983858403807965E-4","0.0","4.937234257480453E-7","7.504596071370289E-6","6.582979009973937E-7","3.3244044000368385E-6","3.2914895049869685E-6","2.304042653490878E-7","0.0","5.266383207979149E-7","1.9748937029921812E-7","0.0","3.2914895049869685E-7","4.608085306981756E-7","6.912127960472635E-7","4.608085306981756E-6","1.0829000471407126E-5","1.6457447524934843E-7","6.582979009973937E-8","3.818127825784884E-6","1.3165958019947873E-7","6.582979009973937E-7","1.5470000673438754E-6","0.0","2.6331916039895747E-7","6.582979009973937E-8","3.2914895049869684E-8","4.608085306981756E-7","2.304042653490878E-7","9.305369979548659E-4","1.6454156035429856E-4","3.2914895049869684E-8","3.1894533303323726E-5","7.636255651569768E-6","2.6331916039895747E-7","1.658910710513432E-5","0.0","7.316981169586031E-5","1.9419788079423115E-6","2.2513788214110866E-5","7.451932239290497E-5"
1819,"4.837623323468281E-7","1.2037145093100488E-5","8.53698233553226E-8","0.0","2.8456607785107535E-8","0.0","3.500162757568227E-6","5.122189401319357E-7","2.390355053949033E-6","2.2765286228086028E-7","3.130226856361829E-7","6.411273733984727E-5","6.829585868425808E-7","2.351938633439138E-4","0.0","8.53698233553226E-8","9.134571099019518E-6","5.122189401319357E-7","2.5610947006596783E-6","2.703377739585216E-6","2.2765286228086028E-7","0.0","6.829585868425808E-7","3.414792934212904E-7","0.0","2.2765286228086028E-7","5.691321557021508E-7","5.122189401319357E-7","3.8985552665597325E-6","1.431367371590909E-5","1.1382643114043014E-7","0.0","4.4107742066916685E-6","8.53698233553226E-8","5.691321557021508E-7","1.2805473503298392E-6","0.0","3.414792934212904E-7","1.707396467106452E-7","5.691321557021507E-8","8.53698233553226E-8","2.2765286228086028E-7","8.701746094608034E-4","1.612635963182044E-4","2.8456607785107535E-8","3.645291457272275E-5","8.53698233553226E-6","1.1382643114043014E-7","1.3061582973364358E-5","1.1382643114043014E-7","7.299119896880083E-5","1.9350493293873124E-6","2.3818180716135007E-5","7.05723873070667E-5"
