"Year"," hose","gown","suit ","sweater","suit ","suit ","tie s"," tee","cardigan"," suit","tee ","top"," tie","dress"," coat","dress ","jacket","tie "," tie","tie "," tie","blazer","tie "," tie"," coat","tie "," tie","polo","tank","scarf"," top"," coat","corset","top ","an tie","tunic","underwear"," dress","coat "," coat","coat ","suit ","tie","suit","coat ","hose","skirt"," dress","bra","coat ","coat","n tie","shirt","tee"
1841,"2.3469726664696195E-7","1.1700093366918917E-5","6.084743950106421E-8","6.95399308583591E-8","8.692491357294887E-8","1.0430989628753864E-7","2.051427960321593E-6","4.0854709379285966E-7","3.0302024871529975E-5","1.4777235307401307E-7","2.694672320761415E-7","7.30951598234927E-5","5.823969209387574E-7","1.5150143186629258E-4","1.7384982714589775E-8","1.0430989628753864E-7","1.3568979008737319E-5","4.780870246512188E-7","1.7124207973870926E-6","2.0253504862497086E-6","2.3469726664696195E-7","3.2162218021991083E-7","4.0854709379285966E-7","2.0861979257507728E-7","2.607747407188466E-8","1.6515733578860284E-7","3.0423719750532104E-7","1.5298784788839E-6","7.066995473480743E-6","1.1448011117557366E-5","7.823242221565398E-8","0.0","1.3647211430952973E-6","2.2600477528966705E-7","5.997819036533472E-7","2.5034375109009275E-6","0.0","2.1731228393237218E-7","4.2593207650744946E-7","7.823242221565398E-8","2.607747407188466E-8","2.0861979257507728E-7","7.512224880801388E-4","1.1484519581258005E-4","4.1723958515015456E-7","2.5677619469449097E-5","7.762394782064333E-6","5.215494814376932E-8","1.2508495063147342E-5","1.303873703594233E-7","7.673731370219926E-5","1.4168760912390665E-6","2.002750008720742E-5","9.193178859475072E-5"
1842,"2.638238133788172E-7","1.1567025317827517E-5","4.9466965008528226E-8","1.4015640085749666E-7","1.6488988336176077E-8","6.59559533447043E-8","1.7972997286431924E-6","2.9680179005116936E-7","5.342432220921049E-6","1.6488988336176077E-7","3.462687550596976E-7","8.570151687727515E-5","6.760485217832191E-7","1.7832016436157618E-4","3.297797667235215E-8","1.4015640085749666E-7","1.3224168645613214E-5","4.781806617491062E-7","1.995167588677305E-6","1.7725662461389282E-6","1.6488988336176077E-7","6.348260509427789E-7","2.885572958830813E-7","2.14356848370289E-7","1.6488988336176077E-8","2.0611235420220095E-7","2.390903308745531E-7","1.7560772578027522E-6","5.903057824351036E-6","1.0404551640127104E-5","1.071784241851445E-7","3.297797667235215E-8","1.1707181718685014E-6","2.4733482504264113E-7","4.699361675810182E-7","2.7124385813009645E-6","0.0","3.1329077838734545E-7","1.5664538919367273E-7","7.420044751279234E-8","8.244494168088038E-9","1.731343775298488E-7","6.739049532995163E-4","1.2700643265939622E-4","2.555793192107292E-7","2.399147802913619E-5","1.0157216815084462E-5","2.3084583670646507E-7","1.1995739014568095E-5","6.59559533447043E-8","8.724323728670762E-5","1.088273230187621E-6","2.5747555286938944E-5","8.496775689631532E-5"
1843,"1.4551707639895602E-7","1.2668545474732641E-5","1.7119656046936E-8","4.879101973376761E-7","2.5679484070404002E-8","2.5679484070404002E-8","1.6006878403885161E-6","2.5679484070404E-7","1.3182135156140721E-5","1.19837592328552E-7","2.2255552861016802E-7","8.49562931329199E-5","6.505469297835681E-7","1.8778550717884102E-4","3.4239312093872E-8","1.19837592328552E-7","1.1504408863540994E-5","4.0231191710299606E-7","1.6263673244589202E-6","1.4123716238722202E-6","1.8831621651629604E-7","8.987819424641401E-7","3.33833292915252E-7","2.5679484070404E-7","5.1358968140808004E-8","1.4551707639895602E-7","2.6535466872750804E-7","1.3267733436375402E-6","6.231554801084705E-6","1.053714829688911E-5","9.415810825814802E-8","5.9918796164276E-8","1.010059706769224E-6","3.33833292915252E-7","5.221495094315481E-7","3.0558586043780766E-6","0.0","2.9103415279791203E-7","1.19837592328552E-7","6.8478624187744E-8","1.7119656046936E-8","2.0543587256323202E-7","6.396759481937638E-4","1.3584447073243717E-4","1.6263673244589202E-7","2.603043701936619E-5","8.371511806951705E-6","1.36957248375488E-7","1.2129276309254157E-5","3.4239312093872E-8","9.119640776202808E-5","1.052858846886564E-6","2.9257492184213627E-5","8.808063036148573E-5"
1844,"1.364112318472659E-7","1.465217113841809E-5","2.40725703259881E-8","3.771369351071469E-7","3.20967604346508E-8","5.61693307606389E-8","1.9177814359703853E-6","2.567740834772064E-7","1.090487435767261E-5","1.524596120645913E-7","1.845563724992421E-7","8.825004281507237E-5","7.061287295623176E-7","1.9327866714735845E-4","0.0","1.765321823905794E-7","1.1209793581801791E-5","4.333062658677858E-7","1.7733460140144566E-6","1.572741261297889E-6","2.888708439118572E-7","8.184673910835953E-7","2.728224636945318E-7","2.246773230425556E-7","6.41935208693016E-8","1.60483802173254E-7","2.567740834772064E-7","1.5085477404285877E-6","7.959996587793398E-6","1.079253569615133E-5","7.22177109779643E-8","4.01209505433135E-8","1.9177814359703853E-6","3.049192241291826E-7","5.857658779323771E-7","3.265845374225719E-6","0.0","3.20967604346508E-7","3.289917944551707E-7","9.62902813039524E-8","8.0241901086627E-9","1.60483802173254E-7","6.19619936000825E-4","1.3491873248705464E-4","2.567740834772064E-7","2.8108737950645438E-5","9.292012145831406E-6","2.166531329338929E-7","1.3769510226465194E-5","4.01209505433135E-8","9.356205666700707E-5","1.5566928810805638E-6","2.785196386716823E-5","8.760810760637935E-5"
1845,"2.0147847930289656E-7","1.3809670768886034E-5","7.55544297385862E-8","2.0987341594051723E-7","1.678987327524138E-8","2.518480991286207E-8","2.182683525781379E-6","4.5332657843151725E-7","4.734744263618069E-6","1.2592404956431035E-7","3.441924021424483E-7","9.385539160859931E-5","6.464101210967931E-7","1.8897841864947933E-4","8.39493663762069E-9","1.595037961147931E-7","1.3750906212422689E-5","5.456708814453448E-7","1.5782480878726896E-6","1.7209620107122414E-6","1.8468860602765517E-7","7.639392340234827E-7","2.518480991286207E-7","2.0987341594051723E-7","8.39493663762069E-8","1.8468860602765517E-7","2.43453162491E-7","1.5866430245103102E-6","1.1030946741833587E-5","1.2575615083155792E-5","1.3431898620193104E-7","5.036961982572414E-8","1.7125670740746208E-6","5.288810081701034E-7","5.120911348948621E-7","4.8690632498199996E-6","0.0","2.7703290904148275E-7","6.464101210967931E-7","1.0913417628906897E-7","1.678987327524138E-8","2.7703290904148275E-7","6.459567945183616E-4","1.1550593319702307E-4","2.43453162491E-7","2.7182804832615794E-5","9.85565561256669E-6","5.8764556463344824E-8","1.2693144196082482E-5","5.8764556463344824E-8","1.0575101682410783E-4","1.4439291016707587E-6","2.9667706077351517E-5","1.0229230292940811E-4"
1846,"2.124560268281795E-7","1.0321250851717365E-5","5.482736176211084E-8","1.2336156396474937E-7","2.0560260660791562E-8","4.797394154184698E-8","1.644820852863325E-6","3.76938112114512E-7","4.24912053656359E-6","2.6728338859029033E-7","3.0840390991187345E-7","9.301461922942104E-5","6.921954422466493E-7","1.7515286056928332E-4","6.853420220263855E-9","2.9469706947134574E-7","1.1171074959030082E-5","3.495244312334566E-7","1.3090032620703961E-6","1.1924951183259106E-6","2.124560268281795E-7","5.893941389426915E-7","2.535765481497626E-7","1.5077524484580479E-7","1.3706840440527708E-7","2.3301628748897106E-7","2.8099022903081804E-7","1.5008990282377841E-6","9.77983065431652E-6","8.025355077928974E-6","9.594788308369395E-8","4.797394154184698E-8","1.651674273083589E-6","1.2336156396474937E-7","3.837915323347758E-7","3.392443009030608E-6","0.0","3.0155048969160957E-7","8.566775275329818E-7","8.90944628634301E-8","1.370684044052771E-8","2.261628672687072E-7","5.23848027956088E-4","1.260138375899915E-4","1.7133550550659635E-7","2.411033233488824E-5","8.436560291144804E-6","1.781889257268602E-7","1.2569172683963909E-5","4.1120521321583123E-8","9.879890589532372E-5","1.0759869745814251E-6","2.9113329095680852E-5","8.411887978351855E-5"
1847,"1.9352168360149116E-7","1.001152176498381E-5","3.225361393358186E-8","7.740867344059646E-8","4.5155059507014605E-8","4.5155059507014605E-8","1.4578633497979001E-6","3.225361393358186E-7","4.1542654746453435E-6","1.7416951524134205E-7","3.225361393358186E-7","1.0065707836392228E-4","5.54762159657608E-7","1.7315030104104087E-4","2.580289114686549E-8","1.161130101608947E-7","1.13081170451138E-5","2.322260203217894E-7","1.212735883902678E-6","1.0256649230879033E-6","1.0966228737417833E-7","9.095519129270085E-7","1.8062023802805842E-7","2.386767431085058E-7","5.160578229373098E-8","1.870709608147748E-7","1.9997240638820754E-7","1.1159750421019325E-6","7.23771096669577E-6","7.1667530160418896E-6","2.1287385196164028E-7","7.740867344059646E-8","1.3417503396370054E-6","1.8062023802805842E-7","3.4188830769596774E-7","3.43178452253311E-6","0.0","2.6447963425537127E-7","1.1740315471823798E-6","1.2901445573432743E-7","1.2901445573432744E-8","3.1608541654910225E-7","4.180648930843014E-4","1.2099620731043899E-4","3.6769119884283324E-7","2.254527613957372E-5","8.92780033681546E-6","1.2256373294761106E-7","1.1404877886914547E-5","6.450722786716372E-8","9.858639634938632E-5","9.869605863676049E-7","2.80928977361498E-5","8.142102301393405E-5"
1848,"1.7280649012259372E-7","9.90314116471787E-6","6.646403466253604E-9","8.640324506129686E-8","1.9939210398760812E-8","1.3292806932507209E-8","1.4622087625757929E-6","2.7914894558265135E-7","5.283890755671616E-6","1.661600866563401E-7","3.123809629139194E-7","1.076119185221121E-4","5.516514876990491E-7","1.7386991467719428E-4","1.3292806932507209E-8","3.323201733126802E-7","1.1259007471833606E-5","3.9878420797521623E-7","1.2894022724531991E-6","1.109949378864352E-6","1.9274570052135452E-7","2.5256333171763696E-7","1.8609929705510092E-7","1.595136831900865E-7","7.975684159504325E-8","1.3957447279132568E-7","1.7945289358884732E-7","1.4489159556432857E-6","6.4536577657322495E-6","8.148490649626919E-6","1.528672797238329E-7","3.9878420797521625E-8","2.1401419161336606E-6","1.8609929705510092E-7","3.9878420797521623E-7","3.0839312083416723E-6","0.0","3.123809629139194E-7","9.90314116471787E-7","9.304964852755046E-8","7.975684159504325E-8","3.5890578717769464E-7","4.3655571887393546E-4","1.1393264821851929E-4","2.1268491092011534E-7","2.1879960210906865E-5","7.776292055516716E-6","1.8609929705510092E-7","1.397738648953133E-5","1.9274570052135452E-7","1.0854906141085387E-4","9.23850081809251E-7","3.221511760093122E-5","7.967708475344821E-5"
1849,"1.4861336903981187E-7","9.936830266252876E-6","6.755153138173266E-8","1.5536852217798513E-7","1.3510306276346532E-8","4.7286071967212864E-8","1.3510306276346533E-6","2.769612786651039E-7","3.4856590192974056E-6","1.418582159016386E-7","3.242473506323168E-7","1.1242601367861767E-4","5.944534761592475E-7","1.9714238918444862E-4","2.7020612552693064E-8","2.2967520669789107E-7","1.267942244035122E-5","5.06636485362995E-7","1.0605590426932028E-6","1.0605590426932028E-6","1.7563398159250493E-7","3.242473506323168E-7","1.5536852217798513E-7","1.418582159016386E-7","1.2159275648711879E-7","2.4318551297423757E-7","1.3510306276346531E-7","1.3645409339109998E-6","9.538276231100652E-6","1.0294853382576058E-5","1.0132729707259899E-7","3.377576569086633E-8","2.0333010945901533E-6","7.430668451990593E-8","4.255746477049158E-7","2.985777687072584E-6","6.755153138173266E-9","2.9047158494145045E-7","9.119456736533909E-7","1.418582159016386E-7","4.7286071967212864E-8","3.4451281004683656E-7","4.371394698774684E-4","1.2449071718339513E-4","6.282292418501138E-7","2.4372592522529146E-5","9.18025311477747E-6","1.2834790962529205E-7","1.3084731628641618E-5","8.781699079625246E-8","1.1535775014058488E-4","1.1821517991803217E-6","3.7139831953676616E-5","8.779672533683794E-5"
1850,"1.4253283530546624E-7","1.0249406611511254E-5","5.8308887170418E-8","8.357607161093248E-7","5.8308887170418E-8","3.239382620578778E-8","1.4642009445016078E-6","2.5915060964630226E-7","4.34725147681672E-6","1.4901160054662378E-7","2.461930791639871E-7","1.0643963414697749E-4","5.183012192926045E-7","1.849752264002894E-4","4.535135668810289E-8","1.4901160054662378E-7","1.4810457341286174E-5","3.822471492282958E-7","1.0754750300321544E-6","9.91251081897106E-7","1.2309653958199356E-7","1.5549036578778135E-7","2.1379925295819936E-7","2.397143139228296E-7","9.070271337620579E-8","1.74926661511254E-7","1.2957530482315113E-7","1.094911325755627E-6","8.312255804405144E-6","8.526055057363344E-6","1.6844789627009646E-7","3.887259144694534E-8","2.202780181993569E-6","1.878841919935691E-7","3.563320882636656E-7","3.2717764467845656E-6","0.0","2.9802320109324756E-7","2.9154443585209E-7","6.478765241157556E-8","5.183012192926045E-8","2.397143139228296E-7","4.8632203406225077E-4","1.2290865539E-4","1.9436295723472668E-7","2.4055655340418006E-5","8.435352343987138E-6","1.878841919935691E-7","1.1791352738906753E-5","1.036602438585209E-7","1.1876224563565916E-4","9.91251081897106E-7","3.433745577813505E-5","8.66081337437942E-5"
1851,"8.117266730718561E-8","1.3043823231131596E-5","2.4976205325287883E-8","1.685893859456932E-7","2.4976205325287883E-8","1.873215399396591E-8","1.3424710362342237E-6","1.7483343727701518E-7","3.1157816143296634E-6","2.1854179659626898E-7","2.2478584792759093E-7","1.2037906561655626E-4","3.9337523387328415E-7","2.2452984182300673E-4","2.4976205325287883E-8","2.2478584792759093E-7","1.48920624252029E-5","2.9971446390345457E-7","1.1613935476258864E-6","8.42946929728466E-7","1.4985723195172729E-7","1.7857986807580835E-6","1.248810266264394E-7","1.8107748860833713E-7","4.3708359319253794E-8","1.7483343727701518E-7","1.5610128328304926E-7","1.2488102662643941E-6","6.955873183092675E-6","8.71669565852547E-6","8.117266730718561E-8","1.2488102662643942E-8","3.0970494603356974E-6","2.310298992589129E-7","4.1210738786725004E-7","2.728650431787701E-6","0.0","2.934704125721326E-7","4.3708359319253795E-7","1.4985723195172729E-7","7.492861597586364E-8","1.436131806204053E-7","4.08286028452481E-4","1.2656067643456503E-4","2.6849420724684473E-7","2.1947840429596726E-5","1.3206168565745967E-5","1.4985723195172729E-7","1.21072155314333E-5","2.3727395059023489E-7","1.1434731203049924E-4","8.5543503239111E-7","3.8494576457599944E-5","8.103529817789653E-5"
1852,"1.5815950626081655E-7","9.529110252214196E-6","8.566973255794229E-8","1.8451942397095264E-7","7.248977370287425E-8","1.976993828260207E-8","1.2652760500865324E-6","2.5041921824629284E-7","3.6376686439987804E-6","1.7133946511588458E-7","2.701891565288949E-7","1.1859326977790227E-4","3.756288273694393E-7","1.99406187497752E-4","4.612985599273816E-8","1.976993828260207E-7","1.375987704469104E-5","3.4267893023176916E-7","1.2850459883691344E-6","1.153246399818454E-6","1.8451942397095264E-7","1.5815950626081655E-7","2.042893622535547E-7","1.6474948568835056E-7","6.5899794275340226E-9","1.8451942397095264E-7","1.2520960912314642E-7","2.576681956165803E-6","8.507663440946423E-6","6.379100085852934E-6","1.0543967084054436E-7","3.2949897137670115E-8","2.7941512772744256E-6","2.5041921824629284E-7","3.6903884794190527E-7","2.1417433139485575E-6","0.0","3.0313905366656507E-7","4.744785187824496E-7","7.248977370287425E-8","5.271983542027218E-8","2.1087934168108872E-7","4.1997279893731573E-4","1.2289652634408198E-4","1.9110940339848665E-7","2.1931451534833226E-5","9.384130704808449E-6","2.5041921824629284E-7","1.2936129616249287E-5","7.907975313040827E-8","1.0582847962676887E-4","8.76467263862025E-7","3.943443689436359E-5","8.138624593004518E-5"
1853,"1.3315241850824704E-7","8.115956937645535E-6","7.608709629042689E-8","6.974650493289131E-8","8.876827900549802E-8","3.170295678767787E-8","1.635872570244178E-6","2.9800779380417196E-7","7.4121512969590855E-6","1.3949300986578263E-7","2.9800779380417196E-7","1.1277375788512772E-4","4.6286316910009686E-7","1.9377481247764467E-4","6.340591357535573E-9","2.853266110891008E-7","1.438046119889068E-5","3.9945725552474115E-7","1.5280825171660731E-6","1.337864776440006E-6","2.0923951479867393E-7","6.911244579713775E-7","2.7898601973156525E-7","1.5851478393838934E-7","5.0724730860284585E-8","2.663048370164941E-7","2.4728306294388737E-7","7.836970917913968E-6","9.491865262230754E-6","5.890409371150548E-6","1.204712357931759E-7","3.170295678767787E-8","2.6820701442375477E-6","3.8677607280966997E-7","4.3750080366995456E-7","2.517214768941623E-6","6.340591357535573E-9","2.663048370164941E-7","5.516314481055949E-7","8.242768764796245E-8","3.8043548145213444E-8","1.2681182715071148E-7","4.354844956182583E-4","1.2388881453488757E-4","1.648553752959249E-7","2.3041708993284273E-5","9.041683275845727E-6","1.902177407260672E-7","1.3600568461913804E-5","8.242768764796245E-8","1.1585528528489E-4","9.193857468426581E-7","3.856347663653136E-5","8.802642981666636E-5"
1854,"1.4198704799086907E-7","8.914317273861519E-6","1.975471972046874E-7","1.8520049737939444E-8","9.87735986023437E-8","6.173349912646481E-8","1.4075237800833977E-6","2.654540462437987E-7","1.179109833315478E-5","1.975471972046874E-7","1.605070977288085E-7","1.184171980243848E-4","4.630012434484861E-7","2.1738217047402055E-4","6.1733499126464814E-9","3.21014195457617E-7","2.4748959799799745E-5","4.259611439726072E-7","1.1235496841016596E-6","1.0741628848004877E-6","1.7285379755410148E-7","3.21014195457617E-7","2.2841394676791982E-7","1.9137384729204092E-7","1.8520049737939444E-8","1.5433374781616203E-7","1.9137384729204092E-7","7.432713294826364E-6","9.327931718008834E-6","7.191952648233151E-6","1.4816039790351555E-7","3.704009947587889E-8","3.6237563987234847E-6","2.654540462437987E-7","3.4570759510820295E-7","2.259446068028612E-6","0.0","3.580542949334959E-7","4.753479432737791E-7","1.1729364834028315E-7","4.321344938852537E-8","1.2346699825292962E-7","4.1026848849465985E-4","1.2394851954611606E-4","4.1978779405996074E-7","2.505145394551942E-5","8.920490623774166E-6","2.2224059685527334E-7","1.424809159838808E-5","4.938679930117185E-8","1.2044205679573285E-4","9.013090872463863E-7","4.952261299925007E-5","8.074124350750332E-5"
1855,"9.814290679440523E-8","8.041584425466578E-6","6.74732484211536E-8","4.2937521722552284E-8","7.360718009580391E-8","5.5205385071852935E-8","1.8769830924429998E-6","2.514911986606634E-7","1.4936123627773545E-5","1.165447018183562E-7","2.4535726698601306E-7","1.1306062862715481E-4","5.213841923452778E-7","2.138779296317076E-4","3.066965837325163E-8","2.2695547196206208E-7","1.8113500235242414E-5","3.1283051540716666E-7","1.410804285169575E-6","1.3126613783751698E-6","2.4535726698601306E-7","7.851432543552418E-7","2.698929936846144E-7","1.840179502395098E-7","2.4535726698601306E-8","1.5334829186625816E-7","1.6561615521555882E-7","6.446762190057493E-6","9.489192300684055E-6","7.593807413217104E-6","2.0241974526346077E-7","2.4535726698601306E-8","4.023859178570614E-6","3.00562652057866E-7","3.066965837325163E-7","3.2632516509139734E-6","0.0","2.0855367693811108E-7","3.3123231043111764E-7","9.20089751197549E-8","3.6803590047901955E-8","1.5334829186625816E-7","4.6771842412376204E-4","1.313397450176128E-4","4.907145339720261E-7","2.5327003884631196E-5","8.569102549486507E-6","2.2082154028741174E-7","1.3874953448059038E-5","6.133931674650326E-8","1.1464931693088925E-4","8.710182978003464E-7","4.0373538282548446E-5","8.561741831476926E-5"
1856,"1.495357417232341E-7","1.1044282638701717E-5","4.2724497635209736E-8","7.476787086161704E-8","5.340562204401217E-8","3.738393543080852E-8","1.5006979794367421E-6","2.8839035903766574E-7","1.7778731578451652E-5","1.8157911494964138E-7","2.0294136376724624E-7","1.1964461506520047E-4","3.097526078552706E-7","2.4049619718859562E-4","2.1362248817604868E-8","2.6702811022006086E-7","2.075342472630313E-5","3.20433732264073E-7","1.0520907542670398E-6","8.651710771129972E-7","1.22832930701228E-7","4.2724497635209736E-7","1.9226023935844383E-7","1.7089799054083894E-7","2.1362248817604868E-8","1.7089799054083894E-7","1.281734929056292E-7","3.396597561999174E-6","1.0066959755296294E-5","8.133676237303054E-6","1.22832930701228E-7","5.874618424841339E-8","4.443347754061813E-6","2.1362248817604868E-7","3.8986104092128887E-7","2.7397084108578246E-6","5.340562204401217E-9","2.45665861402456E-7","2.4032529919805475E-7","6.942730865721582E-8","3.738393543080852E-8","1.602168661320365E-7","4.0437134843064696E-4","1.3930322453960134E-4","2.510064236068572E-7","2.58910455669371E-5","1.1930815964632319E-5","4.5394778737410346E-7","1.4328728394408466E-5","4.8065059839610956E-8","1.2295576363192923E-4","9.132361369526081E-7","4.2585643017895304E-5","8.7745437018312E-5"
1857,"1.6134870565557387E-7","1.1681646289463548E-5","1.7210528603261212E-7","9.680922339334432E-8","3.76480313196339E-8","5.916119207371041E-8","1.0917929082693831E-6","2.420230584833608E-7","6.588405480935932E-6","9.680922339334432E-8","2.09753317352246E-7","1.1478346920337524E-4","3.33453991688186E-7","2.4184557490713966E-4","2.689145094259564E-8","1.8286186640965036E-7","2.6197651508276676E-5","1.9899673697520776E-7","9.57335653556405E-7","8.712830105400988E-7","1.1832238414742083E-7","3.33453991688186E-7","1.2907896452445907E-7","1.0756580377038257E-7","1.129440939589017E-7","1.66726995844093E-7","2.420230584833608E-7","3.8347209044141385E-6","1.0815741569111967E-5","7.943734608442753E-6","1.0756580377038257E-7","5.378290188519128E-8","4.437089405528281E-6","1.7748357622113124E-7","2.635362192374373E-7","3.216217532734439E-6","0.0","2.0437502716372688E-7","3.6034544263078163E-7","1.3983554490149735E-7","3.226974113111477E-8","1.5597041546705472E-7","3.645835352993347E-4","1.3879215660492463E-4","5.109375679093172E-7","2.2852355011017776E-5","1.5769146832738084E-5","5.432073090404319E-7","1.7049179897605637E-5","1.66726995844093E-7","1.1424026189433481E-4","8.76661300728618E-7","4.258530171269446E-5","7.691492798601205E-5"
1858,"1.5856072919780227E-7","1.294251952077061E-5","2.2297602543440946E-7","5.4505250661744534E-8","2.9730136724587925E-8","1.9820091149725283E-8","1.298215970307006E-6","2.4775113937156607E-7","4.4000602352390135E-6","1.7838082034752756E-7","2.2793104822184078E-7","1.295837559369039E-4","3.8649177741964305E-7","2.512394754139177E-4","9.910045574862642E-9","2.9730136724587924E-7","3.0166178729881883E-5","2.4279611658413475E-7","8.373988510758933E-7","7.928036459890114E-7","1.38740638048077E-7","1.0405547853605775E-7","1.9324588870982152E-7","2.2793104822184078E-7","4.955022787431321E-9","1.7342579756009623E-7","1.4865068362293962E-7","4.974842878581046E-6","1.211007569248215E-5","1.1084385975483865E-5","1.9820091149725285E-7","3.468515951201925E-8","3.07706915099485E-6","1.9820091149725285E-7","3.121664356081732E-7","4.092848822418271E-6","0.0","3.4189657233276115E-7","1.8333584313495888E-7","6.93703190240385E-8","1.4865068362293962E-8","1.882908659223902E-7","3.8535707720132125E-4","1.3380048032900796E-4","1.2883059247321436E-7","2.3912939972143555E-5","1.6361485244098224E-5","1.635157519852336E-7","1.380469348578366E-5","4.459520508688189E-8","1.1011547140508624E-4","7.085682586026789E-7","4.624522767509652E-5","7.355731327941797E-5"
1859,"1.554016143101412E-7","1.176481633042069E-5","1.279778000201163E-7","2.7423814290024916E-8","6.947366286806313E-7","4.570635715004153E-8","8.821326929958015E-7","2.605262357552367E-7","3.766203829163422E-6","1.279778000201163E-7","1.3711907145012458E-7","1.3029054169190837E-4","3.3365640719530317E-7","2.4194660157374483E-4","3.656508572003322E-8","2.1939051432019933E-7","4.012561094202146E-5","1.9196670003017442E-7","7.17589807255652E-7","6.810247215356188E-7","1.1426589287510382E-7","5.941826429505399E-8","1.0055398573009137E-7","1.6911352145515365E-7","1.3711907145012458E-8","9.141271430008305E-8","1.279778000201163E-7","5.219665986534742E-6","8.71620230851292E-6","1.2500688680536359E-5","9.141271430008305E-8","2.7423814290024916E-8","2.449860743242226E-6","2.5138496432522844E-7","2.7880877861525335E-7","4.497505543564087E-6","0.0","3.108032286202824E-7","2.422436928952201E-7","8.227144287007476E-8","3.199445000502907E-8","1.279778000201163E-7","3.15844639813932E-4","1.3602211887852358E-4","9.141271430008305E-8","2.3205117525076085E-5","1.8086005524271432E-5","3.199445000502907E-7","1.3008029244901819E-5","8.227144287007476E-8","1.1415162698222872E-4","6.947366286806313E-7","4.491106653563081E-5","7.647130614773448E-5"
1860,"1.3752553333433268E-7","1.080286775640034E-5","9.484519540298805E-8","8.061841609253985E-8","1.2329875402388448E-7","3.7938078161195224E-8","8.298954597761455E-7","2.6556654712836656E-7","3.5709216069225004E-6","1.564945724149303E-7","1.7072135172537852E-7","1.2696452082620996E-4","2.845355862089642E-7","2.3603649553964622E-4","2.3711298850747013E-8","1.9917491034627493E-7","3.2185717060003996E-5","1.754636114955279E-7","8.061841609253985E-7","6.971121862119623E-7","1.0907197471343627E-7","9.958745517313746E-8","1.3278327356418328E-7","1.0907197471343627E-7","1.8969039080597612E-8","1.802058712656773E-7","1.517523126447809E-7","4.386590287388197E-6","9.076685200065958E-6","1.0508847650651078E-5","1.422677931044821E-7","4.742259770149403E-8","2.22411983220007E-6","2.7505106666866535E-7","2.2288620919702195E-7","4.827620446012092E-6","4.742259770149403E-9","2.5133976781791833E-7","2.2288620919702195E-7","5.6907117241792836E-8","2.8453558620896418E-8","2.2288620919702195E-7","3.0231431808725427E-4","1.4513686026542248E-4","1.422677931044821E-7","2.2767589156487282E-5","1.62991468300035E-5","9.010293563283866E-8","1.5132550926546745E-5","5.6907117241792836E-8","1.0064023684211063E-4","6.259782896597212E-7","4.203064834283416E-5","8.404706990635787E-5"
1861,"1.1479236033353698E-7","1.022093516046685E-5","2.8698090083384245E-7","1.1920745111559609E-7","9.27169064232414E-8","9.713199720530051E-8","1.231810328194493E-6","2.6490544692354687E-7","2.7770921019151828E-6","1.1479236033353698E-7","2.2516962988501483E-7","1.244658242370285E-4","3.4879217178267E-7","2.1307228114217285E-4","2.6490544692354685E-8","2.913959916159015E-7","2.7603147569433584E-5","2.2958472066707396E-7","8.167917946809362E-7","8.653577932835864E-7","2.0750926675677838E-7","1.1037726955147785E-7","1.4569799580795076E-7","1.854338128464828E-7","8.830181564118229E-9","1.7660363128236457E-7","2.0750926675677838E-7","4.070713701058503E-6","8.088446312732297E-6","1.1192255132519854E-5","1.3686781424383253E-7","6.622636173088672E-8","3.4658462639164047E-6","2.0750926675677838E-7","3.046412639620789E-7","2.8035826466075374E-6","0.0","2.5166017457736954E-7","2.2516962988501483E-7","3.5320726256472915E-8","3.973581703853203E-8","2.781507192697242E-7","3.3757784119623987E-4","1.3417902395755854E-4","1.1920745111559609E-7","2.1859114461974677E-5","1.681266569808111E-5","2.0750926675677838E-7","1.4596290125487432E-5","1.0596217876941874E-7","1.020150876102579E-4","9.359992457965322E-7","4.732535809289165E-5","8.342314032700696E-5"
1862,"8.269348595730558E-8","1.2195113034335275E-5","3.133647888908422E-7","3.0466021142165215E-8","1.566823944454211E-7","4.7875176080545336E-8","1.0489015850374024E-6","2.437281691373217E-7","3.0378975367473314E-6","1.6973926064920618E-7","2.0890985926056147E-7","1.2862318897348694E-4","4.526380283978832E-7","2.468400555825572E-4","3.481830987676025E-8","2.611373240757018E-7","3.084902255080958E-5","2.2196672546434656E-7","7.485936623503452E-7","7.964688384308906E-7","1.5233010571082608E-7","1.6103468318001613E-7","1.43625528241636E-7","2.1326214799515648E-7","4.7875176080545336E-8","8.269348595730558E-8","1.2621637330325587E-7","2.7637033464678442E-6","8.70457746919006E-6","1.0406322364416717E-5","1.5233010571082608E-7","2.6113732407570184E-8","4.226072361291775E-6","2.263190141989416E-7","2.9160334521786704E-7","3.177170776254372E-6","0.0","2.8289876774867696E-7","2.611373240757018E-7","9.575035216109067E-8","2.6113732407570184E-8","4.0911514105193286E-7","3.3238429066102245E-4","1.588019590591689E-4","1.0445492963028074E-7","2.4577374484258136E-5","2.0185915151051752E-5","3.3947852129841236E-7","1.2521534689429903E-5","1.0445492963028074E-7","1.0612620850436523E-4","5.788544017011391E-7","5.56135454506553E-5","8.44256968736744E-5"
